budget,genres,original_language,release_date,revenue,runtime,vote_average
0,Comedy,en,14/05/2000,0,90,4
0,Action,en,02/06/2000,0,104,5.6
0,Comedy,sv,25/08/2000,0,106,6.8
0,Drama,en,24/01/2000,0,91,5
0,Comedy,en,21/08/2001,4574762,103,5.8
10000000,Comedy,en,01/07/2001,59217789,90,6.1
0,Horror,en,31/08/2001,16017403,95,5.8
0,Drama,en,13/12/2002,261603,91,5
40000000,Family,en,07/09/2001,27053815,104,5.2
57000000,Action,en,04/09/2001,16991902,105,6
0,Music,en,06/09/2001,0,84,4.4
6000000,Horror,en,07/09/2001,0,90,6.6
0,Comedy,en,07/09/2001,0,71,3
0,Action,en,01/01/2000,0,100,6.7
0,Drama,fa,01/01/2000,0,94,4.3
0,Drama,th,04/03/2000,0,104,5.2
0,Comedy,en,14/09/2001,0,89,6
700000,Drama,en,20/01/2001,1667192,97,6.7
0,Drama,es,01/09/2000,0,101,6.5
0,Crime,en,06/09/2000,0,122,7.8
30000000,Documentary,en,14/09/2001,23619609,106,5.4
32000000,Drama,en,14/09/2001,40222729,106,6.3
0,Comedy,en,01/09/2000,0,99,7.1
0,Drama,en,07/09/2001,251058,88,7
40000000,Comedy,en,05/04/2002,8493890,85,6.3
22000000,Action,en,21/09/2001,5271666,104,3.4
45000000,Drama,en,05/10/2001,104876233,122,7.3
0,Action,en,20/01/2001,0,91,6.5
0,Action,en,19/09/2001,0,104,7.2
0,Documentary,en,20/01/2001,0,103,8
0,Documentary,en,04/09/2000,0,90,6.3
0,Drama,en,07/09/2001,0,104,3.6
1000000,Action,en,23/11/2001,2402459,107,5.6
0,Comedy,en,02/09/2000,2452566,97,6.2
50000000,Action,en,28/09/2001,100020092,113,6
31000000,Thriller,en,07/09/2001,24185781,101,6.5
28000000,Drama,en,28/09/2001,60780981,89,6.1
0,Comedy,en,14/09/2000,0,96,5.9
0,Comedy,en,28/09/2001,1,93,5.9
0,Action,fr,28/09/2001,0,154,6.9
0,Comedy,en,28/09/2001,0,0,8
23000000,Music,en,05/10/2001,36642838,97,6.3
12000000,Mystery,en,05/10/2001,17292381,86,5.4
28000000,Comedy,en,05/10/2001,77516304,90,6.6
0,Comedy,en,14/10/2000,0,81,6
0,Documentary,es,12/04/2001,0,103,7.1
1000000,Thriller,en,05/10/2001,0,113,6.5
75000000,Crime,en,12/10/2001,67631903,123,6.2
11000000,Action,en,12/10/2001,23978402,86,4.1
0,Action,fr,07/03/2001,0,86,6.2
15000000,Drama,en,16/05/2001,20117339,147,7.7
0,Thriller,en,18/01/2001,0,109,6.4
0,Action,en,12/10/2001,0,120,5.9
10000000,Drama,en,24/10/2001,7316658,96,4.3
35000000,Documentary,en,19/10/2001,74558115,122,6.6
72000000,Horror,en,19/10/2001,27642707,131,7
48000000,Action,en,19/10/2001,35743308,132,6.5
0,Thriller,es,11/05/2000,0,125,6.4
0,Crime,en,14/09/2000,0,123,5.3
0,Drama,en,19/10/2001,0,106,6.6
0,Drama,en,20/01/2001,0,119,6.1
0,Romance,en,23/01/2001,3176880,99,7.6
48000000,Animation,en,22/10/2001,50315140,120,7.1
0,Drama,en,26/10/2001,0,85,4.1
0,Comedy,en,26/10/2001,0,91,5.4
0,Horror,en,09/11/2000,0,84,5.5
6000000,Romance,en,18/01/2001,1270522,113,7.7
0,Fantasy,en,16/07/2001,0,86,6.4
18000000,Action,en,25/10/2001,0,125,7.2
0,Drama,en,13/05/2001,0,116,7.4
0,Crime,fr,06/09/2000,0,103,7
0,Comedy,it,30/08/2000,0,133,6.8
0,Drama,en,06/12/2001,0,0,5
75000000,Action,en,30/10/2001,54249294,89,5.4
115000000,Mystery,en,01/11/2001,562816256,92,7.5
49000000,Animation,en,02/11/2001,72700000,87,5.7
100000,Action,en,26/01/2001,490475,86,6.9
35000000,Drama,en,09/11/2001,0,107,6.3
40000000,Action,en,01/11/2001,141069860,114,5.7
0,Comedy,en,12/10/2000,27,87,5
0,Drama,en,10/10/2000,0,97,7
7000000,Action,en,16/11/2001,10229331,93,5.3
125000000,Action,en,16/11/2001,976475550,152,7.5
0,Adventure,en,11/02/2001,0,95,5.4
6000000,Comedy,en,23/11/2001,2025238,95,6
0,Comedy,en,21/11/2001,0,95,5.1
24000000,Adventure,en,21/11/2001,14782676,89,5.8
92000000,Comedy,en,18/11/2001,143049560,126,6.8
4500000,Action,es,20/04/2001,6459020,106,7.2
1700000,Fantasy,en,23/11/2001,0,130,6.4
0,Comedy,nl,12/04/2000,0,0,6.4
40000000,Action,en,17/11/2001,91753202,106,6
0,Action,en,20/11/2001,0,118,6
0,Drama,en,10/11/2000,0,95,5.8
0,Comedy,en,01/01/2001,0,80,6
0,Documentary,en,30/11/2001,0,110,5.4
85000000,Action,en,07/12/2001,450717150,116,7.2
0,Thriller,fa,31/01/2001,0,94,7.6
0,Drama,en,19/01/2001,0,84,5.7
1012153,Drama,bs,08/09/2001,0,98,7.4
0,Drama,en,01/01/2001,0,103,7
10000000,Comedy,fr,25/04/2001,173921954,122,7.8
16000000,Comedy,en,07/12/2001,66468332,89,5.5
68000000,Comedy,en,10/12/2001,203388341,136,6.5
0,Drama,en,14/12/2001,0,91,6.2
0,Drama,en,11/05/2001,0,85,6
0,Drama,en,04/10/2001,0,121,6.4
21000000,Crime,en,05/10/2001,71441250,110,7.4
12000000,Family,en,21/12/2001,31155435,93,6.4
25000000,Comedy,en,21/12/2001,80936232,83,5.6
38000000,Action,en,21/12/2001,0,99,5.5
0,Comedy,en,25/12/2001,0,118,6
93000000,Comedy,en,18/12/2001,871368364,178,8
72000000,Adventure,en,21/12/2001,37317558,152,6.6
60000000,Drama,en,11/12/2001,313542341,135,7.7
0,Drama,cs,25/01/2001,0,132,7.2
0,Animation,en,21/01/2000,0,79,5.4
107000000,Drama,en,11/12/2001,87713825,157,6.7
92000000,Drama,en,28/12/2001,172989651,144,7.2
0,Action,en,17/12/2001,741394,121,6.1
19800000,Music,en,07/11/2001,87754044,137,6.8
22000000,Drama,en,28/12/2001,92542418,132,7.2
4000000,Drama,en,11/11/2001,44909486,111,6.6
0,Drama,en,18/12/2001,0,111,6.4
0,Drama,fr,07/06/2000,0,100,6.1
0,Romance,en,10/01/2002,0,82,6
29000000,Comedy,fr,31/01/2001,70752904,137,6.6
0,Thriller,zh,15/05/2001,0,116,7.5
40000000,Comedy,en,03/12/2001,0,102,6.1
0,Action,en,25/01/2002,0,81,6
33000000,Action,en,18/01/2002,0,99,5.3
0,Thriller,de,14/05/2000,0,91,5
0,Drama,da,07/12/2000,0,112,6.5
0,Comedy,he,30/11/2000,0,102,7.5
35000000,Western,en,23/01/2002,75395048,131,7.3
32000000,Action,en,25/01/2002,55157539,119,6.1
11000000,Drama,en,25/01/2002,41227069,101,7.5
344,Drama,en,29/09/2001,4,104,5.3
0,Comedy,zh,17/02/2001,0,113,6.7
0,Drama,en,01/01/2001,0,0,3.4
0,Comedy,fr,08/09/2000,0,87,6.3
14500000,Drama,ja,26/05/2001,95789342,108,6.8
0,Animation,it,09/03/2001,0,99,6.3
0,Drama,en,08/11/2001,0,87,6.4
555000,Comedy,en,01/01/2000,0,84,6
